n_particles,w,c1,c2,penalty_method,rho,C,alpha,best_position,objective_value,inequality_0,inequality_1,violated
59,1.3954703208957682,1.539093716895476,2.4184564662273127,STATIC,5209.91328237281,NA,NA,"[0.0, 0.0]",nan,0.75,-15.0,True
59,1.3744555781925527,1.5518077494581757,2.0137514150141187,ADAPTIVE,NA,0.5003581875134238,1.187388245178236,"[1.7149608143066297, 0.20666475843407972]",-0.5049447874848294,0.3955780375874077,-13.078374427259291,True
12,1.3256780240111667,1.5364689561001035,2.4401137622790063,ADAPTIVE,NA,0.5056775813702864,1.8602756750722542,"[0.2196782098595107, 1.247949403247518]",-0.4080184481943622,0.4758527090993406,-13.532372386892972,True
13,0.4138550916406135,1.5438695307224894,2.183045140951162,STATIC,497.3157377235231,NA,NA,"[0.4747372366758939, 1.5790258379668016]",-0.2740540320616348,0.00037763704380278096,-12.946236925357304,True
60,0.42506559004526834,1.9780319588237232,2.2263401944434205,ADAPTIVE,NA,0.9173659477852862,1.9519890018553292,"[1.6002532377376308, 0.4685438354927019]",-0.36509204188932165,0.00021121023079595513,-12.931202926769668,True
12,0.4048336057991089,1.5137470012668879,2.3375363609422517,ADAPTIVE,NA,0.9959422483247784,1.448499552650861,"[1.5846870996837876, 0.4711715396466972]",-0.3665015223454677,0.0033405393837305786,-12.944141360669516,True
12,0.40518463561204177,1.9982517728709763,2.3655752754417882,ADAPTIVE,NA,0.5706078592231698,1.9695649116594303,"[1.3645024900051672, 0.35814772728922195]",-0.47922523905671105,0.26130653432416506,-13.277349782705612,True
14,0.49495893338369723,1.5074076366110885,2.139106172512095,ADAPTIVE,NA,0.5180812653621811,1.8079516484533729,"[1.2015676825654964, 0.34995987569274134]",-0.4354019002974135,0.3294995231729636,-13.448472441741762,True
59,1.3376764906639549,1.9541738505356443,2.4754672567094973,ADAPTIVE,NA,0.6568913531173102,1.8225565616765869,"[1.5373615711432376, 0.02988485475901026]",-0.6476077612247404,0.7040561727343005,-13.432753574097752,True
13,0.414103421991859,1.9737339518366692,2.429527070233766,STATIC,8872.899626563618,NA,NA,"[1.61251565202476, 0.4650895342681918]",-0.36484491722241574,3.584639963472025e-05,-12.922394813707047,True
59,1.3333607758912187,1.947218281857599,2.05797738623853,ADAPTIVE,NA,0.5068870795468214,1.6775013064173865,"[1.2515220524127912, 0.018751559738291457]",-0.648691518534593,0.7265320094703924,-13.729726387848917,True
58,0.42039424502095835,1.9945530929432636,2.1468863016675788,ADAPTIVE,NA,0.5060905032853638,1.835894148681814,"[1.4464203829665552, 0.45692262006687784]",-0.3939158950032108,0.08909780889678476,-13.096656996966567,True
11,0.453117561612021,1.967879043951247,2.4429847417974324,ADAPTIVE,NA,0.9795470511481115,1.9263764276291617,"[1.6038909851260292, 0.46684482492868784]",-0.3656233524033217,0.0012317938441381848,-12.929264189945282,True
10,0.41007479337024966,1.9442602161727187,2.497216251800302,ADAPTIVE,NA,0.5097685524631815,1.1480284848834075,"[1.6318355964626554, 0.45321914935354635]",-0.369216719144582,0.01042085908635837,-12.914945254183799,True
59,0.4985182802395516,1.5267875443849594,2.0141082658045626,STATIC,2855.6465370696023,NA,NA,"[1.6007566286725727, 0.46854284463696255]",-0.36496743360106715,-2.3064369721215172e-05,-12.930700526690465,False
59,0.4232572818301005,1.9798643362403794,2.22645672064627,STATIC,5537.182529822684,NA,NA,"[1.6010442239201237, 0.4684148456265625]",-0.3650048245040241,4.7117011155672905e-05,-12.930540930453313,True
59,0.4772765916981937,1.5322118421492232,2.4042326546625956,ADAPTIVE,NA,0.7228952885030906,1.8642909619790915,"[1.4857195680114454, 0.2518695304201135]",-0.5669176444190366,0.37579251006898334,-13.26241090156844,True
60,0.5473291020898328,1.5038970190670553,2.496778630731789,ADAPTIVE,NA,0.7295546965415634,1.7220533053168272,"[1.5750190018524057, 0.47387123934195263]",-0.36622497267105797,0.003643793605075274,-12.951109758805641,True
59,1.350525646204621,1.960539195080957,2.4108030541291963,ADAPTIVE,NA,0.5043027287526186,1.4118972323675956,"[1.4003599389859767, 0.34978845996018637]",-0.4908250032051934,0.2601702535521547,-13.249851601053837,True
59,0.4125668319566873,1.5213986959614016,2.270972602492945,ADAPTIVE,NA,0.9957310002992499,1.8710014347269095,"[1.5597051884980795, 0.389736163054174]",-0.4424501348836124,0.14212648433907127,-13.050558648447746,True
11,1.3923424404102398,1.991152343596764,2.0043002061082387,ADAPTIVE,NA,0.5178640670657848,1.8954437446871282,"[1.7806391601386473, 0.2264446494654726]",-0.4539014816250809,0.34678378955791045,-12.99291619039588,True
59,0.4053628589808398,1.923014062448814,2.2323625230148636,STATIC,4710.6609232124,NA,NA,"[1.6009960594067894, 0.4684229394288231]",-0.3650099630649594,5.6719838709029524e-05,-12.930581001164388,True
58,1.363243985488599,1.5099428204343561,2.4314346552358903,ADAPTIVE,NA,0.7651546921525924,1.8709685963318674,"[1.4933592662915485, 0.21888897895232073]",-0.5878612064698362,0.4231201149924561,-13.287751754756131,True
59,1.2110981497113469,1.994010561715033,2.467735125179262,ADAPTIVE,NA,0.515132846124284,1.9466759511165783,"[1.129596441036872, 0.05124990975912458]",-0.5868499216257346,0.692108284332632,-13.819153649204004,True
60,0.4,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.553088702813017, 0.07055770145955265]",-0.6357812733526019,0.6404176309667152,-13.37635359572743,True
